"","songtitlesum","songlyricsum"
"11","만약에 말야 전우성 Solo","만약에 말야 우리 조금
어렸었다면 지금 어땠었을까
만약에 말야 우리 지금 이럴
거라면 후회 하진 않을까
세월에 닫혀진 우리의 연이
더는 허락되어 지지 않아도
만약에 말야 우리 조금
어렸었다면 지금 어땠었을까
만약에 말야 우리 지금
이럴 거라면 후회 하진 않을까
세상에 닫혀진 우리의 날이
이젠 바랜 기억 뿐 일 지라도
만약에 말야 우리 조금
어렸었다면 지금 어땠었을까
만약에 말야 우리 지금
이럴 거라면 후회 하진 않을까
만약에 말야 만약에 말야
만약에 말야 우리 같은
마음이라면 다시 되돌아볼까
만약에 말야 우리 정말
사랑했다면 지워 낼 수 있을까
만약에 말야"
"12","이 사랑","시간을 되돌리면
기억도 지워질까
해볼 수도 없는 말들을
내뱉는 걸 알아
널 힘들게 했고
눈물로 살게 했던
미안한 마음에 그런 거야
하지만 난 말야
너의 밖에선 살 수 없어
내겐 너 하나로
물든 시간만이 흘러갈 뿐이야
사랑해요 고마워요
따뜻하게 나를 안아줘
이 사랑 땜에 나는 살 수 있어
사랑은 그런가봐
무슨 말을 해봐도
채워지지 않은 것 같은
마음이 드나봐
내 욕심이라고
다시 생각을 해봐도
그 마음 쉽게 사라지지 않아
알잖아 난 말야
너의 밖에선 살 수 없어
내겐 너 하나로
물든 시간만이 흘러갈 뿐이야
사랑해요 고마워요
따뜻하게 나를 안아줘
이 사랑 땜에 나는 살 수 있어
돌아가도 다시 견딜 수 있을까
너무 힘들던 시간들
흔들리지 않은 너를 볼 때면
떨리는 내 입술이
두루루 두루루
알잖아 난 말야
너의 밖에선 살 수 없어
내겐 너 하나로
물든 시간만이 흘러갈 뿐이야
사랑해요 고마워요
따뜻하게 나를 안아줘
이 사랑 땜에 나는 살 수 있어
사랑 땜에 나는 살 수 있어"
"13","후유증","꽃이 피어날 땐 알지 못했어
이젠 그리워 봄을 기다리죠
깊이 새겨졌던 너의 각인들
지울 수가 없어서 아픔까지 선명해
음 끝없이 방황했던
그땐 나 알지 못했죠
Oh Goodbye Long Goodbye
사랑할수록 아픈 사람아
더욱 짙어진 그리움
끝없이 나를 괴롭히는데
비워내도
내겐 버거운 이별인가 봐 겁이나
아픈 맘 들킬까 가슴을 여며
기억을 지워 널 잊을 수 있길
왜 이리 모질게 대했는지 몰라
깊이 남은 시간은 잔인하게 선명해
Oh 끝없이 헤매였던
그땐 나 미처 몰랐죠
이젠 겁이나
Oh Goodbye Long Goodbye
사랑할수록 아픈 사람아
더욱 짙어진 그리움
끝없이 나를 괴롭히는데
내 곁에서 머물던 시간
아직까지 향기가 남아
깊게 베어버린 사랑아
꽃이 떨어 지나봐
Oh Goodbye Long Goodbye
자꾸 아파 와
보낼 수밖에 없는 사람아
나를 차갑게 떠나
더욱 짙어진 그리움
끝없이 나를 괴롭힌 데도
Long Goodbye
Long Goodbye
Long Goodbye"
"14","이 별","함께였었던 너 지금 어느 별에 있니
난 아직도 이별에 있어
흩어져가는 하늘에 나를 태워 보면
볼 수 있을까 너 있는 곳에
혹시 너도 나를 찾고서 있는지
마치 시간이 멈춘 듯이
너를 기다리고만 있어
oh youre my star
oh youre my star in the sky
너의 밤하늘 속에 내가 있다면
그 수 많은 별들 중에
한 점이라도 채워지면
그걸로 좋아 이별이 된대도
함께였었던 너 지금 어느 별에 있니
난 아직도 이별에 있어
환하게 웃어주던
니 마지막 모습이 그리워
꿈에서 라도 만날까
너를 품에 안고 잠들어
oh youre my star
oh youre my star in the sky
너의 밤하늘 속에 내가 있다면
그 수 많은 별들 중에
한 점이라도 채워지면
그걸로 좋아 이별이 된대도
너를 잊지 않을게
oh youre my star
oh youre my star in the sky
너의 밤하늘에도 내가 있다면
그 수 많은 별들 중에
한 점이라도 채워지면
그걸로 좋아 이별이 된대도"
"15","눈물이 맘을 훔쳐서","한사람이 생겼죠 사랑하면
안되는 그 사람
안되는데 안되는데
몇 번을 뿌리쳐 보았죠
그 사람을 울렸죠
지독히도 못된 나의 집착에
눈물이 맘을 훔쳐서
사라져 버린다면
꼭 다가올 것만 같아서
I believe that I love you
미치게 나를 흔드는
I believe that I love you
비틀대는 내 사랑이
다가가면 그대 겁이 나서
숨어 버릴까봐
나 죽을 듯 아프대도
난 바라만 보죠
어느날 그 어느날
우린 서로 오늘 처음 본거죠
갑자기 숨이 막혀와
아팠던 내 기억이
모두 다 사라져 버린 거죠
I believe that I love you
미치게 나를 흔드는
I believe that I love you
비틀대는 내 사랑이
다가가면 그대 겁이 나서
숨어 버릴까봐
나 죽을 듯 아프대도
난 바라만 보죠
지금은 아니라 해도 흔들리는
그댈 느낄 수가 있는데
음 내 맘이 그댈 아니까
그대가 사랑이니까
I believe that I love you
미치게 나를 흔드는
I believe that I love you
비틀대는 내 사랑이
다가가면 겁이 나서
숨어 버릴까봐
나 죽을 듯 아프대도
난 바라만 보죠
눈물이 내 맘 안다면 음"
"16","넘쳐흘러","나는 그대를 뒤로한 채로
우리 사랑을 놓아요
차오르는 추억을 헝클어뜨려
모두 일어나지 않았던 일처럼
고갤 저어 모르는 꿈이라
말하고 있네요
남았는지 모를 마음이
나를 향해 힘껏 달려도
어느 끝 멈춰질 그 거리에 그대
다 찢겨져버린 사이 더 기워봐도
다시 그때로 우리
되돌려 놓을 수 없는 그 얘기
날카롭게 패인 이 상처가 깊어
나을 수 없으니 떠나가요
떨궈진 눈물은 가슴에 담아지고
이제 더는 채울 자리 없이
넘쳐흐르네요
그대인지 모를 얼굴이
나를 향해 웃음 지어도
손 내밀 수도 없는 거리에 그대
또 주저앉을 수밖에
무너진 이 사랑과
그대의 모든 흔적을
그리워하는 일만이
더 할 게 없어서
무력해져 가는 내가 싫어
그대를 보내기 싫지만
다 찢겨져버린 사이 더 기워봐도
다시 그때로 우릴 되돌려
놓을 수 없는 그 얘기
날카롭게 패인 이 상처가 깊어
나을 수 없으니 떠나가요"
"17","너도 그냥 날 놓아주면 돼","반복돼 오늘도 이렇게
힘겨운 스물네 시간
반복돼 오늘도 머리속엔
온통 너라는 사람
또 반복해 오늘도 너에게
하지 못한 말
수없이 반복해 나도 모르게
너와 함께 듣던 이 노래
마지막까지 날 걱정해주던
니 눈빛 잘 알아
그만큼 우리 미치도록
사랑했잖아
늘 안쓰러워하던
그날들이 지나가면
이젠 너도 맘 아플 일
없을 거니까
흔들리지마 이젠 나는 괜찮아
너도 이젠 너의 갈길
그대로 그냥 가면 돼
내가 널 놓을 수 있게
너도 그냥 날 놓아주면 돼
아픈 기억들만 내게 두고 제발 가
반복돼 오늘도 이렇게
멍청히 하루가
또 반복해 나도 모르게
너와 함께 듣던 이 노래
마지막까지 날 위로해주던
니 눈물 잘 알아
그만큼 우리 미치도록
힘들었잖아
사랑한 만큼 아프던
그날들이 지나가면
이젠 너도 좋은 기억만
남을 거니까
흔들리지마 이젠 나는 괜찮아
너도 이젠 너의 갈길
그대로 그냥 가면 돼
내가 널 놓을 수 있게
너도 그냥 날 놓아주면 돼
좋은 기억들만 가지고 제발 가
네가 잘 지냈으면 좋겠어
행복하면 더 좋고
흔들리지마 이젠 나는 괜찮아
너도 이젠 너의 갈길
그대로 그냥 가면 돼
내가 널 놓을 수 있게
너도 그냥 날 놓아주면 돼
아픈 기억들만 내게 두고
제발 가 제발 가"
"18","Good Bye My Love","문득
말하고 싶었죠
우리 다시
시작 할 수는 없는지
잠시 울리다 끊어진
전화에도 나는 혹시나
그댄걸 느껴요
잊으려고 친구를 만났죠
아무 소용 없다는걸 난 알아요
그 언젠가
그대 아파할 때 하얗게 밤새던
그 추억도 이젠 나의
몫이 아니겠죠
사랑해요 떠나지 말아요
혼자 있다 그대 보고 싶을 땐
난 어쩌면 좋아요
내가 먼저 보내야 할까요
새로운 연인이 기다리나요
나보다 더 행복하게
해줄 것 같다면
Goodbye my love

잊으려고 친구를 만났죠
아무 소용 없다는걸 난 알아요
그 언젠가
그대 아파할 때 하얗게 밤새던
그 추억도 이젠 나의
몫이 아니겠죠
사랑해요 떠나지 말아요
혼자 있다 그대 보고 싶을 땐
난 어쩌면 좋아요
내가 먼저 보내야 할까요
새로운 연인이 기다리나요
나보다 더 행복하게
해줄 것 같다면
Goodbye my love"
"19","그런 사람 또 없습니다","천번이고 다시 태어난데도
그런 사람 또 없을테죠
슬픈 내 삶을 따뜻하게 해준
참 고마운 사람입니다
그런 그댈 위해서
나의 심장쯤이야
얼마든 아파도 좋은데
사랑이란 그 말은 못해도
먼 곳에서 이렇게 바라만 보아도
모든걸 줄 수 있어서
사랑할 수 있어서
난 슬퍼도 행복합니다

나 태어나 처음
가슴 떨리는 이런 사랑
또 없을테죠
몰래 감춰둔 오랜 기억속에
단 하나의 사랑입니다
그런 그댈 위해서
아픈 눈물쯤이야
얼마든 참을 수 있는데
사랑이란 그 말은 못해도
먼 곳에서 이렇게 바라만 보아도
모든걸 줄 수 있어서
사랑할 수 있어서
난 슬퍼도 행복합니다
아무것도 바라지 않아도
그대 웃어준다면 난 행복할텐데
사랑은 주는거니까
그저 주는거니까
난 슬퍼도 행복합니다"
"20","하루도 그대를 사랑하지 않은 적이 없었다","맞이하고 보내준 수 많은 일 년 중
그대 내게 떠났던 그 해가 있었죠
어디에 있을까 잘 지내 지나요
아팠던 건 잘 보내 줬나요
날 떠나겠다는 말 참 힘들었어요
사랑한단 말도 그대가 했기에
거기서 떠나요 나도 잘 떠났으니
이제야 그댈 이해하네요
사랑 누구나 하는
흔하디 흔한 이야기
시작의 이유도 헤어짐의 이유도
그땐 모르기에 그저 치열한 날들
우린 어떤 사랑을 했었나요
그 가슴에
가지 말라는 말 왜 안 했겠어요
혹시 싫어할까 가슴에 남긴 말
그대는 그 날로 나를 지워갔겠죠
이제야 그댈 보고 싶은데
사랑 누구나 하는
흔하디 흔한 이야기
숨마저 못 쉬던 걸을 수조차 없던
이별이 기다려 모두 가져간 날들
우린 어떤 이유가 있었나요
떠나던 날
익숙함을 핑계 삼아야 했던
그날이 이제는 그리워질 텐데
말을 못해서 표현 못해서
그댈 단 하루라도
사랑하지 않은 적이 없단 걸
사랑 누구나 하는
흔하디 흔한 이야기
시작의 이유도 헤어짐의 이유도
그땐 모르기에 그저 치열한 날들
우린 어떤 사랑을 했었나요
그 가슴에
사랑 누구나 하는
흔하디 흔한 이야기
숨마저 못 쉬던 걸을 수 조차 없던
이별이 기다려 모두 가져간 날들
우린 어떤 이유가 있었나요
떠나던 날"
"21","미워요","날 다시 보고도 그댄 아무렇지 않네요
참 편하겠어요 그리 어른스런
사람이어서 웃으라 하지 말아요
잊으라 하지 말아요
내 가슴 아픈 것까지 맘대로 말아요
난 그댈 미워할래요
그것만은 하게 해줘요
못난 난 그대가 멀쩡한 그대가
미치도록 미워요
그 태연한 얼굴 여태 예전
그대로군요 좋은 사람 만나
그런 말을 자연스레 건네며
웃으라 하지 말아요
잊으라 하지 말아요
내 가슴 아픈 것까지 맘대로 말아요
난 그댈 미워할래요 그것만은
하게 해줘요 못난 난 그대가
멀쩡한 그대가 미치도록 미워요
서로 품을 찾던 숱한 밤들도
두근대던 새벽도 다 흩어졌나요
내겐 살아있는데 살갗 깊숙이
가슴 깊숙이 달라붙어 있는데
지워지지 않는데 잊으라 하지 말아요
내 가슴 아픈 것까지 맘대로 말아요
난 그댈 미워할래요 그것만은
하게 해줘요 못난 난 그대가
멀쩡한 그대가 미치도록 미워요"
"22","어떡하죠","그댄 너무 당연한듯
오늘 내게 안부를 묻네요
난 그저 잘 지낸다했죠
그댄 정말 날 너무 모르죠
그대없이도 내가
괜찮을 것 같나요
그대는 나 없이 괜찮나요
당신없는 세상이
너무도 힘들어서
숨쉬는 나를 원망했죠
어떡하죠
아직도 난
그대 한마디에
부서지는 하루를 살아요
그대 내게 말 해봐요
이러는게 나뿐인지
그대 또 나처럼 하루가
아프고 또 아픈지
말해봐요 그대와 나
이미 너무 늦었나요
우리 다시 기회는 없나요
난 아직 그댈 생각해요
그댄 아마 알지도 모르죠
결국 이런건가요
이렇게 끝인가요
그대는 이대로 괜찮나요
난 안될 것 같은데
그대같은 사랑을
죽어도 내겐 없을 텐데
어떡하죠
내 마음은
그대 아니면 누구도
안아줄수 없을텐데
제발 나를 잡아줘요
알잖아요
단 한사람 아무리 애써도
그대를 지울수가 없단걸
제발 나를 잡아줘요
어떡하죠
아직도 난
그대 한마디에 부서지는
하루를 살아요
그대 내게 말해봐요
이러는게 나뿐인지
그대도 나처럼 하루가
아프고 또 아픈지 말해봐요
그대와 나
이미 너무 늦었나요
우리 다시 기회는 없나요
난 아직 그댈 생각해요
그댄 아마 알지도 모르죠"
"23","이 소설의 끝을 다시 써보려 해","시계가 반대로 돌아가고 있어
TV속 영화가 되감아지고 있어
내렸던 빗물이 올라가고 있어
잊었던 기억이 돌아오고 있어
도로 위에 차들이
반대로 달리고
온 세상의 모든 게 다
거꾸로 움직여
지금 나는 계속 반대로
뒷걸음질 치며
그날의 너에게 돌아가고 있어
운명 같은 만남 너무 아픈 결말
난 이 소설의 끝을
다시 써보려 해
내 한 권의 사랑 마지막 장면엔
니가 있어야 해
그래야 말이 되니까
한 장씩 한 장씩 뒤로 넘겨 지며
아팠던 일기가 지워지고 있어
가루 낸 사진이 모여들고 있어
버렸던 미련이 돌아오고 있어
삼켰던 내 눈물이
다시 뱉어지고
뱉었던 그 모진 말은
다시 삼켜지고
지금 나는 계속 반대로
뒷걸음질 치며
그날의 너에게 돌아가고 있어
운명 같은 만남 너무 아픈 결말
난 이 소설의 끝을 다시 써보려 해
내 한 권의 사랑 마지막 장면엔
니가 있어야 해 그래야 말이 돼
여기야 우리가 이별한
그 슬픈 페이지
내 앞에서 니가 서서 울고 있어
너에게 묻고 싶어 너만 괜찮다면
난 이 소설의 끝을 다시 써보려 해
내 한 권의 사랑 마지막 장면엔
니가 있어야 해
그래야 말이 되니까"
"24","흔한 이별","매일 집으로 돌아가는
익숙한 골목 거리 사이
불어온 볼 스치는
차가워진 이 바람을 따라
걷다가 네 생각이 나 잘 지내니
많이 바쁘게 지냈나 봐
너 없는 하루가 왜 그리
느리게만 가는지 했던 게
어제 일만 같은데
어느새 까맣게 잊고 살았나 봐
이 계절이 널 기억하고 있나 봐
우리가 헤어진 게 이맘때였어
그때는 왜 그렇게
세상을 다 잃은 것만 같던지
지나 지나고 보니
흔한 이별인 듯 살아져
너도 나처럼 어느새 잊었을까
참 사랑했었던 애틋했던
우리 사이 이젠
남들과 같나 봐
지나보니 알 것 같아
다 내 잘못이었다는 걸
들릴 듯 말 듯하게
나 혼잣말로 미안했다며
별일은 없는지 너를 불러봐
이 계절이 널 기억하고 있나 봐
우리가 헤어진 게 이맘때였어
그때는 왜 그렇게
세상을 다 잃은 것만 같던지
지나 지나고 보니
흔한 이별인 듯 살아져
너도 나처럼 어느새 잊었을까
참 사랑했었던 애틋했던
우리 사이 이젠
남들과 같나 봐
생각보다 많이 무뎌진 것만 같아서
조심스레 괜찮다 말해
볼 스치는 바람 따라
살며시 너를 싣고서
이젠 보내줄래"
"25","좋니","이제 괜찮니 너무 힘들었잖아
우리 그 마무리가 고작 이별뿐인 건데
우린 참 어려웠어
잘 지낸다고 전해 들었어 가끔
벌써 참 좋은 사람
만나 잘 지내고 있어
굳이 내게 전하더라
잘했어 넌 못 참았을 거야
그 허전함을 견뎌 내기엔
좋으니 사랑해서 사랑을 시작할 때
니가 얼마나 예쁜지 모르지
그 모습을 아직도 못 잊어
헤어 나오지 못해
니 소식 들린 날은 더
좋으니 그 사람 솔직히 견디기 버거워
니가 조금 더 힘들면 좋겠어
진짜 조금 내 십 분의 일 만이라도
아프다 행복해 줘
억울한가 봐 나만 힘든 것 같아
나만 무너진 건가
고작 사랑 한번 따위
나만 유난 떠는 건지
복잡해 분명 행복 바랬어
이렇게 빨리 보고 싶을 줄
좋으니 사랑해서 사랑을 시작할 때
니가 얼마나 예쁜지 모르지
그 모습을 아직도 못 잊어
헤어 나오지 못해
니 소식 들린 날은 더
좋으니 그 사람 솔직히 견디기 버거워
너도 조금 더 힘들면 좋겠어
진짜 조금 내 십 분의 일 만이라도
아프다 행복해 줘
혹시 잠시라도 내가 떠오르면
걘 잘 지내 물어 봐줘
잘 지내라고 답할 걸 모두 다
내가 잘 사는 줄 다 아니까
그 알량한 자존심 때문에
너무 잘 사는 척
후련한 척 살아가
좋아 정말 좋으니
딱 잊기 좋은 추억 정도니
난 딱 알맞게 사랑하지 못한
뒤끝 있는 너의 예전 남자친구일 뿐
스쳤던 그저 그런 사랑"
